Date,Date_quarter,Holding,HoldingValue,NetDebt,eqy_shares_total,NAV,NAV_PS,Price,Discount,NetDebt_ffill,LastFinDate,DaysSinceFin,StaleFund
2017-01-03,2017Q1,ALMENDRAL,1163512.9091590897,47272.77599999997,18048.204643,1116240.1331590896,61.84771035339648,,,47272.77599999997,2025-09-30,-3192.0,False
2017-01-04,2017Q1,ALMENDRAL,1164857.9531969086,47272.77599999997,18048.204643,1117585.1771969085,61.922235441316545,,,47272.77599999997,2025-09-30,-3191.0,False
2017-01-05,2017Q1,ALMENDRAL,1160789.6101195556,47272.77599999997,18048.204643,1113516.8341195555,61.696820051928725,50.85,0.17580841350979215,47272.77599999997,2025-09-30,-3190.0,False
2017-01-06,2017Q1,ALMENDRAL,1163164.1940381736,47272.77599999997,18048.204643,1115891.4180381736,61.82838903430609,50.85,0.17756226881820625,47272.77599999997,2025-09-30,-3189.0,False
2017-01-09,2017Q1,ALMENDRAL,1163247.2214479155,47272.77599999997,18048.204643,1115974.4454479155,61.83298934837523,50.85,0.17762345738284813,47272.77599999997,2025-09-30,-3186.0,False
2017-01-10,2017Q1,ALMENDRAL,1168096.0221768424,47272.77599999997,18048.204643,1120823.2461768424,62.10164769001297,50.8,0.18198627750468643,47272.77599999997,2025-09-30,-3185.0,False
2017-01-11,2017Q1,ALMENDRAL,1175983.6261023232,47272.77599999997,18048.204643,1128710.850102323,62.538677526581225,50.8,0.18770268241748256,47272.77599999997,2025-09-30,-3184.0,False
2017-01-12,2017Q1,ALMENDRAL,1187873.1511773632,47272.77599999997,18048.204643,1140600.3751773632,63.19744250128199,50.8,0.196170003256548,47272.77599999997,2025-09-30,-3183.0,False
2017-01-13,2017Q1,ALMENDRAL,1177494.7249596256,47272.77599999997,18048.204643,1130221.9489596256,62.62240324263956,50.84,0.18814996922087013,47272.77599999997,2025-09-30,-3182.0,False
2017-01-16,2017Q1,ALMENDRAL,1168245.4715143782,47272.77599999997,18048.204643,1120972.6955143781,62.109928255337444,50.0,0.19497572442126865,47272.77599999997,2025-09-30,-3179.0,False
2017-01-17,2017Q1,ALMENDRAL,1187076.088043841,47272.77599999997,18048.204643,1139803.312043841,63.15327948621825,49.0,0.22410996865660604,47272.77599999997,2025-09-30,-3178.0,False
2017-01-18,2017Q1,ALMENDRAL,1201207.3531819126,47272.77599999997,18048.204643,1153934.5771819125,63.936252940785785,50.1,0.21640700391998502,47272.77599999997,2025-09-30,-3177.0,False
2017-01-19,2017Q1,ALMENDRAL,1199596.6214329195,47272.77599999997,18048.204643,1152323.8454329195,63.84700684784447,50.1,0.21531168846497895,47272.77599999997,2025-09-30,-3176.0,False
2017-01-20,2017Q1,ALMENDRAL,1182542.7914719332,47272.77599999997,18048.204643,1135270.0154719332,62.902102338043235,50.0,0.20511400825215398,47272.77599999997,2025-09-30,-3175.0,False
2017-01-23,2017Q1,ALMENDRAL,1185315.906957313,47272.77599999997,18048.204643,1138043.1309573129,63.05575282795251,49.75,0.21101568423514394,47272.77599999997,2025-09-30,-3172.0,False
2017-01-24,2017Q1,ALMENDRAL,1179088.8512266702,47272.77599999997,18048.204643,1131816.0752266701,62.71072927276704,50.0,0.20268827073402962,47272.77599999997,2025-09-30,-3171.0,False
2017-01-25,2017Q1,ALMENDRAL,1195893.598958431,47272.77599999997,18048.204643,1148620.822958431,63.64183284036087,50.0,0.2143532364094547,47272.77599999997,2025-09-30,-3170.0,False
2017-01-26,2017Q1,ALMENDRAL,1194631.5823303538,47272.77599999997,18048.204643,1147358.8063303537,63.57190806650993,50.0,0.21348907841983888,47272.77599999997,2025-09-30,-3169.0,False
2017-01-27,2017Q1,ALMENDRAL,1179769.6759865538,47272.77599999997,18048.204643,1132496.8999865537,62.74845184813398,50.0,0.2031675917517174,47272.77599999997,2025-09-30,-3168.0,False
2017-01-30,2017Q1,ALMENDRAL,1170121.8909745452,47272.77599999997,18048.204643,1122849.114974545,62.21389535329999,50.0,0.19632101934688018,47272.77599999997,2025-09-30,-3165.0,False
2017-01-31,2017Q1,ALMENDRAL,1165970.52048745,47272.77599999997,18048.204643,1118697.74448745,61.98387964984302,50.0,0.19333865059015176,47272.77599999997,2025-09-30,-3164.0,False
2017-02-01,2017Q1,ALMENDRAL,1166933.638440456,47272.77599999997,18048.204643,1119660.862440456,62.03724329304503,50.0,0.19403253036542523,47272.77599999997,2025-09-30,-3163.0,False
2017-02-02,2017Q1,ALMENDRAL,1164110.7065092314,47272.77599999997,18048.204643,1116837.9305092313,61.880832614694285,50.5,0.18391531163709296,47272.77599999997,2025-09-30,-3162.0,False
2017-02-03,2017Q1,ALMENDRAL,1179620.2266490182,47272.77599999997,18048.204643,1132347.4506490182,62.74017128280952,50.85,0.18951448553133554,47272.77599999997,2025-09-30,-3161.0,False
2017-02-06,2017Q1,ALMENDRAL,1170354.3677218223,47272.77599999997,18048.204643,1123081.5917218223,62.226776232693574,50.84,0.18298836806382757,47272.77599999997,2025-09-30,-3158.0,False
2017-02-07,2017Q1,ALMENDRAL,1160889.243011246,47272.77599999997,18048.204643,1113616.467011246,61.702340428811695,50.11,0.18787521426656761,47272.77599999997,2025-09-30,-3157.0,False
2017-02-08,2017Q1,ALMENDRAL,1173575.831219808,47272.77599999997,18048.204643,1126303.055219808,62.40526841857618,50.5,0.19077345102857268,47272.77599999997,2025-09-30,-3156.0,False
2017-02-09,2017Q1,ALMENDRAL,1181596.2790008755,47272.77599999997,18048.204643,1134323.5030008755,62.84965875765504,50.0,0.20445073229757138,47272.77599999997,2025-09-30,-3155.0,False
2017-02-10,2017Q1,ALMENDRAL,1212067.338376153,47272.77599999997,18048.204643,1164794.562376153,64.53797402102921,50.51,0.21735999981124765,47272.77599999997,2025-09-30,-3154.0,False
2017-02-13,2017Q1,ALMENDRAL,1227493.831106198,47272.77599999997,18048.204643,1180221.055106198,65.39271237507532,50.51,0.22758977009107706,47272.77599999997,2025-09-30,-3151.0,False
2017-02-14,2017Q1,ALMENDRAL,1207583.8582500904,47272.77599999997,18048.204643,1160311.0822500903,64.28955706129568,51.24,0.20298097634820877,47272.77599999997,2025-09-30,-3150.0,False
2017-02-15,2017Q1,ALMENDRAL,1217679.9912747054,47272.77599999997,18048.204643,1170407.2152747053,64.84895525210304,51.0,0.21355710663748773,47272.77599999997,2025-09-30,-3149.0,False
2017-02-16,2017Q1,ALMENDRAL,1222960.5345342902,47272.77599999997,18048.204643,1175687.7585342901,65.1415352269003,51.73,0.20588300813275873,47272.77599999997,2025-09-30,-3148.0,False
