Holding,Date,Date_quarter,Price,HoldingValue,NetDebt,NAV,NAV_PS,Discount
ALMENDRAL,2025-11-13,2025Q4,31.11,830274.097419,-1374938.827,2205212.924419,122.18461437239365,0.7453852912676624
ANTARCHILE,2025-11-13,2025Q4,7837.3,5684776.357990842,-8649659.504360002,14334435.862350844,31521.664022930003,0.7513678213720296
IAM,2025-11-13,2025Q4,984.99,1128851.2913164021,-1646.2969999999914,1130497.5883164022,1128.3740954642776,0.12707141721937631
INVERCAP,2025-11-13,2025Q4,1917.1,413260.5105456576,-1357055.9703799998,1770316.4809256573,11861.174091642435,0.8383718184061713
ORO_BLANCO,2025-11-13,2025Q4,7.05,2138700.3024910684,325726.4153,1812973.8871910684,0.008531195871375666,-825.378869538624
QUINENCO,2025-11-13,2025Q4,4319.0,,,,,
