Holding;ID
IAM;AGUAS-A
IAM;IAM
ALMENDRAL;ENTEL
ALMENDRAL;ALMENDRAL
INVERCAP;CAP
INVERCAP;INVERCAP
ANTARCHILE;ANTARCHILE
ANTARCHILE;COPEC
ANTARCHILE;COLBUN
QUINENCO;CHILE
QUINENCO;CCU
QUINENCO;VAPORES
QUINENCO;SMSAAM
ORO_BLANCO;SQM-B
ORO_BLANCO;SQM-A
