ID,Date,Balance2,Value
ALMENDRAL,2021-12-31,Debt,2175847.21
ALMENDRAL,2022-03-31,Cash,379742.345
ALMENDRAL,2022-03-31,Debt,2179639.653
ALMENDRAL,2022-06-30,Cash,698058.728
ALMENDRAL,2022-06-30,Debt,2552503.113
ALMENDRAL,2022-09-30,Cash,543175.329
ALMENDRAL,2022-09-30,Debt,2647480.7399999998
ALMENDRAL,2022-12-31,Cash,385293.127
ALMENDRAL,2022-12-31,Debt,2264466.492
ALMENDRAL,2023-03-31,Cash,282812.55700000003
ALMENDRAL,2023-03-31,Debt,2162010.827
ALMENDRAL,2023-06-30,Cash,219196.298
ALMENDRAL,2023-06-30,Debt,2186337.9
ALMENDRAL,2023-09-30,Cash,388762.679
ALMENDRAL,2023-09-30,Debt,2322764.34
ALMENDRAL,2023-12-31,Cash,704242.1739999999
ALMENDRAL,2023-12-31,Debt,2139579.229
ALMENDRAL,2024-03-31,Cash,659308.889
ALMENDRAL,2024-03-31,Debt,2270747.365
ALMENDRAL,2024-06-30,Cash,482855.02
ALMENDRAL,2024-06-30,Debt,2165499.77
ALMENDRAL,2024-09-30,Cash,504577.26399999997
ALMENDRAL,2024-09-30,Debt,2101153.12
ALMENDRAL,2024-12-31,Cash,392424.146
ALMENDRAL,2024-12-31,Debt,2028959.3760000002
ALMENDRAL,2025-03-31,Cash,356033.047
ALMENDRAL,2025-03-31,Debt,2003207.794
ALMENDRAL,2025-06-30,Cash,348322.48
ALMENDRAL,2025-06-30,Debt,2034343.298
ANTARCHILE,2017-03-31,Cash,987690.0913799999
ANTARCHILE,2017-03-31,Debt,4544697.8849
ANTARCHILE,2017-06-30,Cash,923406.51609
ANTARCHILE,2017-06-30,Debt,4445667.73818
ANTARCHILE,2017-09-30,Cash,883255.5440500001
ANTARCHILE,2017-09-30,Debt,4207376.272700001
ANTARCHILE,2017-12-31,Cash,1012212.8529200001
ANTARCHILE,2017-12-31,Debt,4179844.6693
ANTARCHILE,2018-03-31,Cash,1062597.4823
ANTARCHILE,2018-03-31,Debt,4634565.39848
ANTARCHILE,2018-06-30,Cash,1131091.97365
ANTARCHILE,2018-06-30,Debt,4866409.6844500005
ANTARCHILE,2018-09-30,Cash,1289379.924
ANTARCHILE,2018-09-30,Debt,4959863.496
