Date,Date_quarter,Holding,HoldingValue
2017-01-23,2017Q1,ALMENDRAL,1185315.906957313
2017-01-23,2017Q1,ANTARCHILE,5613356.869379219
2017-01-23,2017Q1,IAM,1082429.800688348
2017-01-23,2017Q1,INVERCAP,368758.0308576931
2017-01-23,2017Q1,QUINENCO,0.0
2017-01-24,2017Q1,ALMENDRAL,1179088.8512266702
2017-01-24,2017Q1,ANTARCHILE,5694370.21087815
2017-01-24,2017Q1,IAM,1086244.4228473136
2017-01-24,2017Q1,INVERCAP,375403.1975079322
2017-01-24,2017Q1,QUINENCO,0.0
2017-01-25,2017Q1,ALMENDRAL,1195893.598958431
2017-01-25,2017Q1,ANTARCHILE,5756850.114088936
2017-01-25,2017Q1,IAM,1100764.5975169232
2017-01-25,2017Q1,INVERCAP,369355.64115272934
2017-01-25,2017Q1,QUINENCO,0.0
2017-01-26,2017Q1,ALMENDRAL,1194631.5823303538
2017-01-26,2017Q1,ANTARCHILE,5840558.259918609
2017-01-26,2017Q1,IAM,1109316.7342926685
2017-01-26,2017Q1,INVERCAP,369602.4801876355
2017-01-26,2017Q1,QUINENCO,0.0
2017-01-27,2017Q1,ALMENDRAL,1179769.6759865538
2017-01-27,2017Q1,ANTARCHILE,5639088.030031944
2017-01-27,2017Q1,IAM,1095473.3474254555
2017-01-27,2017Q1,INVERCAP,378040.4777229831
2017-01-27,2017Q1,QUINENCO,0.0
2017-01-28,2017Q1,ALMENDRAL,1179769.6759865538
2017-01-28,2017Q1,ANTARCHILE,5639088.030031944
2017-01-28,2017Q1,IAM,1095473.3474254555
2017-01-28,2017Q1,INVERCAP,378040.4777229831
2017-01-28,2017Q1,QUINENCO,0.0
2017-01-29,2017Q1,ALMENDRAL,1179769.6759865538
2017-01-29,2017Q1,ANTARCHILE,5639088.030031944
2017-01-29,2017Q1,IAM,1095473.3474254555
2017-01-29,2017Q1,INVERCAP,378040.4777229831
2017-01-29,2017Q1,QUINENCO,0.0
2017-01-30,2017Q1,ALMENDRAL,1170121.8909745452
2017-01-30,2017Q1,ANTARCHILE,5450719.872612849
2017-01-30,2017Q1,IAM,1095811.7413266539
2017-01-30,2017Q1,INVERCAP,383289.0550967789
2017-01-30,2017Q1,QUINENCO,0.0
2017-01-31,2017Q1,ALMENDRAL,1165970.52048745
2017-01-31,2017Q1,ANTARCHILE,5468884.813888823
2017-01-31,2017Q1,IAM,1082645.142261838
2017-01-31,2017Q1,INVERCAP,387037.11096890783
2017-01-31,2017Q1,QUINENCO,0.0
2017-02-01,2017Q1,ALMENDRAL,1166933.638440456
2017-02-01,2017Q1,ANTARCHILE,5505775.867248861
2017-02-01,2017Q1,IAM,1081722.2498040237
2017-02-01,2017Q1,INVERCAP,397138.02410783427
2017-02-01,2017Q1,QUINENCO,0.0
2017-02-02,2017Q1,ALMENDRAL,1164110.7065092314
2017-02-02,2017Q1,ANTARCHILE,5498973.025636145
2017-02-02,2017Q1,IAM,1077169.313678807
2017-02-02,2017Q1,INVERCAP,404738.06807731587
2017-02-02,2017Q1,QUINENCO,0.0
2017-02-03,2017Q1,ALMENDRAL,1179620.2266490182
2017-02-03,2017Q1,ANTARCHILE,5632914.568507796
2017-02-03,2017Q1,IAM,1090151.3342520602
2017-02-03,2017Q1,INVERCAP,404621.1443239392
2017-02-03,2017Q1,QUINENCO,0.0
2017-02-04,2017Q1,ALMENDRAL,1179620.2266490182
2017-02-04,2017Q1,ANTARCHILE,5632914.568507796
2017-02-04,2017Q1,IAM,1090151.3342520602
2017-02-04,2017Q1,INVERCAP,404621.1443239392
2017-02-04,2017Q1,QUINENCO,0.0
2017-02-05,2017Q1,ALMENDRAL,1179620.2266490182
2017-02-05,2017Q1,ANTARCHILE,5632914.568507796
2017-02-05,2017Q1,IAM,1090151.3342520602
2017-02-05,2017Q1,INVERCAP,404621.1443239392
2017-02-05,2017Q1,QUINENCO,0.0
2017-02-06,2017Q1,ALMENDRAL,1170354.3677218223
2017-02-06,2017Q1,ANTARCHILE,5593521.573357981
2017-02-06,2017Q1,IAM,1071755.0112596303
2017-02-06,2017Q1,INVERCAP,418333.7022893885
2017-02-06,2017Q1,QUINENCO,0.0
2017-02-07,2017Q1,ALMENDRAL,1160889.243011246
2017-02-07,2017Q1,ANTARCHILE,5547558.999498581
2017-02-07,2017Q1,IAM,1062064.6404525812
2017-02-07,2017Q1,INVERCAP,438379.63022940577
2017-02-07,2017Q1,QUINENCO,0.0
2017-02-08,2017Q1,ALMENDRAL,1173575.831219808
2017-02-08,2017Q1,ANTARCHILE,5552057.554433318
2017-02-08,2017Q1,IAM,1053297.1621033465
2017-02-08,2017Q1,INVERCAP,457879.9139869987
2017-02-08,2017Q1,QUINENCO,0.0
2017-02-09,2017Q1,ALMENDRAL,1181596.2790008755
2017-02-09,2017Q1,ANTARCHILE,5711929.269866416
2017-02-09,2017Q1,IAM,1057696.2828189274
2017-02-09,2017Q1,INVERCAP,448571.48406540294
2017-02-09,2017Q1,QUINENCO,0.0
2017-02-10,2017Q1,ALMENDRAL,1212067.338376153
2017-02-10,2017Q1,ANTARCHILE,5707961.75711776
2017-02-10,2017Q1,IAM,1076430.999712556
2017-02-10,2017Q1,INVERCAP,479705.6812839715
2017-02-10,2017Q1,QUINENCO,0.0
2017-02-11,2017Q1,ALMENDRAL,1212067.338376153
2017-02-11,2017Q1,ANTARCHILE,5707961.75711776
2017-02-11,2017Q1,IAM,1076430.999712556
2017-02-11,2017Q1,INVERCAP,479705.6812839715
2017-02-11,2017Q1,QUINENCO,0.0
2017-02-12,2017Q1,ALMENDRAL,1212067.338376153
2017-02-12,2017Q1,ANTARCHILE,5707961.75711776
2017-02-12,2017Q1,IAM,1076430.999712556
2017-02-12,2017Q1,INVERCAP,479705.6812839715
2017-02-12,2017Q1,QUINENCO,0.0
2017-02-13,2017Q1,ALMENDRAL,1227493.831106198
2017-02-13,2017Q1,ANTARCHILE,5737025.398916256
2017-02-13,2017Q1,IAM,1074492.9255511458
2017-02-13,2017Q1,INVERCAP,539810.9862836411
2017-02-13,2017Q1,QUINENCO,0.0
2017-02-14,2017Q1,ALMENDRAL,1207583.8582500904
2017-02-14,2017Q1,ANTARCHILE,5698985.001983566
2017-02-14,2017Q1,IAM,1070278.383327128
2017-02-14,2017Q1,INVERCAP,523266.2751808464
2017-02-14,2017Q1,QUINENCO,0.0
2017-02-15,2017Q1,ALMENDRAL,1217679.9912747054
2017-02-15,2017Q1,ANTARCHILE,5716558.077594307
2017-02-15,2017Q1,IAM,1069201.6754596778
2017-02-15,2017Q1,INVERCAP,497231.2527623146
2017-02-15,2017Q1,QUINENCO,0.0
2017-02-16,2017Q1,ALMENDRAL,1222960.5345342902
2017-02-16,2017Q1,ANTARCHILE,5730856.11174616
2017-02-16,2017Q1,IAM,1073539.2700114045
2017-02-16,2017Q1,INVERCAP,468117.2381715312
2017-02-16,2017Q1,QUINENCO,0.0
2017-02-17,2017Q1,ALMENDRAL,1211237.0642787337
2017-02-17,2017Q1,ANTARCHILE,5653519.580405874
2017-02-17,2017Q1,IAM,1069570.8324428035
2017-02-17,2017Q1,INVERCAP,497276.72311084997
2017-02-17,2017Q1,QUINENCO,0.0
