Date,ID,Price
2018-05-17,AGUAS-A,404.51
2018-05-18,AGUAS-A,385.96
2018-05-19,AGUAS-A,385.96
2018-05-20,AGUAS-A,385.96
2018-05-21,AGUAS-A,385.96
2018-05-22,AGUAS-A,389.62
2018-05-23,AGUAS-A,386.45
2018-05-24,AGUAS-A,389.14
2018-05-25,AGUAS-A,386.38
2018-05-26,AGUAS-A,386.38
2018-05-27,AGUAS-A,386.38
2018-05-28,AGUAS-A,379.95
2018-05-29,AGUAS-A,376.09
2018-05-30,AGUAS-A,374.03
2018-05-31,AGUAS-A,366.44
2018-06-01,AGUAS-A,368.57
2018-06-02,AGUAS-A,368.57
2018-06-03,AGUAS-A,368.57
2018-06-04,AGUAS-A,375.55
2018-06-05,AGUAS-A,371.13
2018-06-06,AGUAS-A,372.64
2018-06-07,AGUAS-A,379.52
2018-06-08,AGUAS-A,383.4
2018-06-09,AGUAS-A,383.4
2018-06-10,AGUAS-A,383.4
2018-06-11,AGUAS-A,382.65
2018-06-12,AGUAS-A,383.43
2018-06-13,AGUAS-A,378.14
2018-06-14,AGUAS-A,378.47
2018-06-15,AGUAS-A,376.82
2018-06-16,AGUAS-A,376.82
2018-06-17,AGUAS-A,376.82
2018-06-18,AGUAS-A,370.14
2018-06-19,AGUAS-A,363.06
2018-06-20,AGUAS-A,368.78
2018-06-21,AGUAS-A,365.95
2018-06-22,AGUAS-A,364.22
2018-06-23,AGUAS-A,364.22
2018-06-24,AGUAS-A,364.22
2018-06-25,AGUAS-A,360.63
2018-06-26,AGUAS-A,358.54
2018-06-27,AGUAS-A,355.53
2018-06-28,AGUAS-A,352.72
2018-06-29,AGUAS-A,356.73
2018-06-30,AGUAS-A,356.73
2018-07-01,AGUAS-A,356.73
2018-07-02,AGUAS-A,356.73
2018-07-03,AGUAS-A,356.44
2018-07-04,AGUAS-A,357.91
2018-07-05,AGUAS-A,362.72
2018-07-06,AGUAS-A,361.7
2018-07-07,AGUAS-A,361.7
