Description,Value,Curncy,Date,ID
Activos corrientes totales,432.977,USD,2017-06-30,ORO_BLANCO
Otros activos financieros no corrientes,-,USD,2017-06-30,ORO_BLANCO
Otros activos no financieros no corrientes,-,USD,2017-06-30,ORO_BLANCO
Cuentas por cobrar no corrientes,-,USD,2017-06-30,ORO_BLANCO
"Cuentas por cobrar a entidades relacionadas, no corrientes",-,USD,2017-06-30,ORO_BLANCO
"Inventarios, no corrientes",-,USD,2017-06-30,ORO_BLANCO
Inversiones contabilizadas utilizando el método de la participación,984.480,USD,2017-06-30,ORO_BLANCO
Activos intangibles distintos de la plusvalía,-,USD,2017-06-30,ORO_BLANCO
Plusvalía,486.669,USD,2017-06-30,ORO_BLANCO
"Propiedades, planta y equipo",-,USD,2017-06-30,ORO_BLANCO
Activos biológicos no corrientes,-,USD,2017-06-30,ORO_BLANCO
Propiedad de inversión,-,USD,2017-06-30,ORO_BLANCO
"Activos por impuestos corrientes, no corrientes",-,USD,2017-06-30,ORO_BLANCO
Activos por impuestos diferidos,2.716,USD,2017-06-30,ORO_BLANCO
Total de activos no corrientes,1.473.865,USD,2017-06-30,ORO_BLANCO
Total de activos,1.906.842,USD,2017-06-30,ORO_BLANCO
Otros pasivos financieros corrientes,66.498,USD,2017-06-30,ORO_BLANCO
Cuentas por pagar comerciales y otras cuentas por pagar,244,USD,2017-06-30,ORO_BLANCO
"Cuentas por pagar a entidades relacionadas, corrientes",-,USD,2017-06-30,ORO_BLANCO
Otras provisiones a corto plazo,-,USD,2017-06-30,ORO_BLANCO
"Pasivos por impuestos corrientes, corrientes",518,USD,2017-06-30,ORO_BLANCO
Provisiones corrientes por beneficios a los empleados,-,USD,2017-06-30,ORO_BLANCO
Otros pasivos no financieros corrientes,6.132,USD,2017-06-30,ORO_BLANCO
Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,73.392,USD,2017-06-30,ORO_BLANCO
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,-,USD,2017-06-30,ORO_BLANCO
Pasivos corrientes totales,73.392,USD,2017-06-30,ORO_BLANCO
Otros pasivos financieros no corrientes,478.480,USD,2017-06-30,ORO_BLANCO
Cuentas por pagar no corrientes,-,USD,2017-06-30,ORO_BLANCO
"Cuentas por pagar a entidades relacionadas, no corrientes",-,USD,2017-06-30,ORO_BLANCO
Otras provisiones a largo plazo,-,USD,2017-06-30,ORO_BLANCO
Pasivo por impuestos diferidos,1.698,USD,2017-06-30,ORO_BLANCO
"Pasivos por impuestos corrientes, no corrientes",-,USD,2017-06-30,ORO_BLANCO
Provisiones no corrientes por beneficios a los empleados,53,USD,2017-06-30,ORO_BLANCO
Otros pasivos no financieros no corrientes,-,USD,2017-06-30,ORO_BLANCO
Total de pasivos no corrientes,480.231,USD,2017-06-30,ORO_BLANCO
Total de pasivos,553.623,USD,2017-06-30,ORO_BLANCO
Capital emitido,775.504,USD,2017-06-30,ORO_BLANCO
Ganancias (pérdidas) acumuladas,475.594,USD,2017-06-30,ORO_BLANCO
Prima de emisión,83.212,USD,2017-06-30,ORO_BLANCO
Acciones propias en cartera,-,USD,2017-06-30,ORO_BLANCO
Otras participaciones en el patrimonio,851,USD,2017-06-30,ORO_BLANCO
Otras reservas,-100.579,USD,2017-06-30,ORO_BLANCO
Patrimonio atribuible a los propietarios de la controladora,1.234.582,USD,2017-06-30,ORO_BLANCO
Participaciones no controladoras,118.637,USD,2017-06-30,ORO_BLANCO
Patrimonio total,1.353.219,USD,2017-06-30,ORO_BLANCO
Total de patrimonio y pasivos,1.906.842,USD,2017-06-30,ORO_BLANCO
Efectivo y equivalentes al efectivo,43.491,USD,2017-09-30,ORO_BLANCO
Otros activos financieros corrientes,36.350,USD,2017-09-30,ORO_BLANCO
Otros activos no financieros corrientes,-,USD,2017-09-30,ORO_BLANCO
Deudores comerciales y otras cuentas por cobrar corrientes,-,USD,2017-09-30,ORO_BLANCO
"Cuentas por cobrar a entidades relacionadas, corrientes",373.026,USD,2017-09-30,ORO_BLANCO
Inventarios corrientes,-,USD,2017-09-30,ORO_BLANCO
Activos biológicos corrientes,-,USD,2017-09-30,ORO_BLANCO
"Activos por impuestos corrientes, corrientes",27.549,USD,2017-09-30,ORO_BLANCO
Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,480.416,USD,2017-09-30,ORO_BLANCO
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,-,USD,2017-09-30,ORO_BLANCO
Activos corrientes totales,480.416,USD,2017-09-30,ORO_BLANCO
Otros activos financieros no corrientes,-,USD,2017-09-30,ORO_BLANCO
Otros activos no financieros no corrientes,-,USD,2017-09-30,ORO_BLANCO
Cuentas por cobrar no corrientes,-,USD,2017-09-30,ORO_BLANCO
"Cuentas por cobrar a entidades relacionadas, no corrientes",-,USD,2017-09-30,ORO_BLANCO
"Inventarios, no corrientes",-,USD,2017-09-30,ORO_BLANCO
Inversiones contabilizadas utilizando el método de la participación,985.228,USD,2017-09-30,ORO_BLANCO
Activos intangibles distintos de la plusvalía,-,USD,2017-09-30,ORO_BLANCO
Plusvalía,486.669,USD,2017-09-30,ORO_BLANCO
"Propiedades, planta y equipo",-,USD,2017-09-30,ORO_BLANCO
Activos biológicos no corrientes,-,USD,2017-09-30,ORO_BLANCO
Propiedad de inversión,-,USD,2017-09-30,ORO_BLANCO
"Activos por impuestos corrientes, no corrientes",-,USD,2017-09-30,ORO_BLANCO
Activos por impuestos diferidos,2.415,USD,2017-09-30,ORO_BLANCO
Total de activos no corrientes,1.474.312,USD,2017-09-30,ORO_BLANCO
Total de activos,1.954.728,USD,2017-09-30,ORO_BLANCO
Otros pasivos financieros corrientes,53.229,USD,2017-09-30,ORO_BLANCO
Cuentas por pagar comerciales y otras cuentas por pagar,154,USD,2017-09-30,ORO_BLANCO
"Cuentas por pagar a entidades relacionadas, corrientes",-,USD,2017-09-30,ORO_BLANCO
Otras provisiones a corto plazo,-,USD,2017-09-30,ORO_BLANCO
"Pasivos por impuestos corrientes, corrientes",644,USD,2017-09-30,ORO_BLANCO
Provisiones corrientes por beneficios a los empleados,-,USD,2017-09-30,ORO_BLANCO
Otros pasivos no financieros corrientes,5.529,USD,2017-09-30,ORO_BLANCO
Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,59.556,USD,2017-09-30,ORO_BLANCO
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,-,USD,2017-09-30,ORO_BLANCO
Pasivos corrientes totales,59.556,USD,2017-09-30,ORO_BLANCO
Otros pasivos financieros no corrientes,526.623,USD,2017-09-30,ORO_BLANCO
Cuentas por pagar no corrientes,-,USD,2017-09-30,ORO_BLANCO
"Cuentas por pagar a entidades relacionadas, no corrientes",-,USD,2017-09-30,ORO_BLANCO
Otras provisiones a largo plazo,-,USD,2017-09-30,ORO_BLANCO
Pasivo por impuestos diferidos,1.629,USD,2017-09-30,ORO_BLANCO
"Pasivos por impuestos corrientes, no corrientes",-,USD,2017-09-30,ORO_BLANCO
Provisiones no corrientes por beneficios a los empleados,76,USD,2017-09-30,ORO_BLANCO
Otros pasivos no financieros no corrientes,-,USD,2017-09-30,ORO_BLANCO
Total de pasivos no corrientes,528.328,USD,2017-09-30,ORO_BLANCO
Total de pasivos,587.884,USD,2017-09-30,ORO_BLANCO
Capital emitido,775.504,USD,2017-09-30,ORO_BLANCO
Ganancias (pérdidas) acumuladas,485.940,USD,2017-09-30,ORO_BLANCO
Prima de emisión,83.212,USD,2017-09-30,ORO_BLANCO
Acciones propias en cartera,-,USD,2017-09-30,ORO_BLANCO
Otras participaciones en el patrimonio,851,USD,2017-09-30,ORO_BLANCO
Otras reservas,-99.096,USD,2017-09-30,ORO_BLANCO
Patrimonio atribuible a los propietarios de la controladora,1.246.411,USD,2017-09-30,ORO_BLANCO
Participaciones no controladoras,120.433,USD,2017-09-30,ORO_BLANCO
Patrimonio total,1.366.844,USD,2017-09-30,ORO_BLANCO
Total de patrimonio y pasivos,1.954.728,USD,2017-09-30,ORO_BLANCO
Efectivo y equivalentes al efectivo,58.882,USD,2017-12-31,ORO_BLANCO
Otros activos financieros corrientes,33.314,USD,2017-12-31,ORO_BLANCO
Otros activos no financieros corrientes,-,USD,2017-12-31,ORO_BLANCO
Deudores comerciales y otras cuentas por cobrar corrientes,-,USD,2017-12-31,ORO_BLANCO
"Cuentas por cobrar a entidades relacionadas, corrientes",375.964,USD,2017-12-31,ORO_BLANCO
Inventarios corrientes,-,USD,2017-12-31,ORO_BLANCO
Activos biológicos corrientes,-,USD,2017-12-31,ORO_BLANCO
"Activos por impuestos corrientes, corrientes",28.332,USD,2017-12-31,ORO_BLANCO
